STT,Tên doanh nghiệp,Tên viết tắt,Loại hình doanh nghiệp,Lĩnh vực hoạt động,Vốn điều lệ (VND),Website,Điện thoại,Fax,Địa chỉ trụ sở,Tên người đại diện theo pháp luật,Đơn vị XHTN gần nhất,Kết quả XHTN gần nhất,Ngày hiệu lực
14,ACC - Công ty Cổ phần Đầu Tư và Xây Dựng Bình Dương ACC,Binh Duong ACC,Công ty cổ phần,Xây dựng,3E+11,www.becamexacc.com.vn,2743567200,274356 7201,"Lô D_3_CN, đường N7, KCN Mỹ Phước, Phường Mỹ Phước, Thị xã Bến Cát, Tỉnh Bình Dương, Việt Nam",,,,
15,ADEC - Công ty Cổ phần ADEC,ADEC JSC,Công ty cổ phần,Bất động sản,5.23013E+11,adecland.com.vn,2862760295,0,"Tầng 6, Tòa nhà Smart View, 161A (1 phần) – 163 – 165 Đường Trần Hưng Đạo, Phường Cô Giang, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Nguyễn Ngọc Quỳnh Như,,,
16,ADGC - CTCP TẬP ĐOÀN ĐẦU TƯ AN ĐÔNG,AN DONG CORP,Công ty cổ phần,"Thương mại, dịch vụ",9000000000,www.andongcorp.com,2838336688,2838336688,"18 AN DƯƠNG VƯƠNG, P9, Q 5, TP HỒ CHÍ MINH",KWOK HAKMAN OLIVER,,,
17,ADS - CÔNG TY CỔ PHẦN DAMSAN,DAMSAN JSC,Công ty cổ phần,Sản xuất,7.63947E+11,http://damsanjsc.vn/,0227364 3826,0227364 2312,"Lô A4, đường Bùi Viện, khu công nghiệp Nguyễn Đức Cảnh, Phường Trần Hưng Đạo, Thành phố Thái Bình, Tỉnh Thái Bình, Việt Nam",Vũ Huy Đông,,,
18,AECC - Công ty cổ phẩn Anh ngữ APax,"Apax English.,Corp",Công ty cổ phần,"Thương mại, dịch vụ",6.1196E+11,www.apaxenglish.com,2473068800,2473068811,"149, Trung Kính, Phường Yên Hòa, Quận Cầu Giấy, Tp.Hà Nội",Nguyễn Ngọc Thủy,,,
19,AGG - CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN BẤT ĐỘNG SẢN AN GIA,AN GIA,Công ty cổ phần,Bất động sản,1.62528E+12,www.angia.com.vn,2839303366,2839303395,"60 Nguyễn Đình Chiểu, Phường Đa Kao, Quận 1, TP Hồ Chí Minh",NGUYỄN BÁ SÁNG,,,
20,AGHC - CÔNG TY TNHH PHÁT TRIỂN BẤT ĐỘNG SẢN AN GIA HƯNG,AGH,Công ty trách nhiệm hữu hạn,Bất động sản,2.50005E+12,0,938485358,0,"Phòng 702A, Tầng 7, Toà nhà Centre Point, 106 Nguyễn Văn Trỗi, Phường Phú Nhuận, TP. Hồ Chí Minh, Việt Nam",Đỗ Trịnh Tuyết Trinh,Công ty cổ phần Sài Gòn Phát Thịnh Ratings (Saigon Ratings),vnB-,20/04/2026
21,AGM - Công ty cổ phần Xuất nhập khẩu An Giang,ANGIMEX,Công ty cổ phần,Sản xuất,1.82E+11,www.angimex.com.vn,2963844920,2963844669,"Số 01 Ngô Gia Tự, Phường Mỹ Long, Thành phố Long Xuyên, Tỉnh An Giang",Huỳnh Thanh Tùng; Huỳnh Thanh Tùng; Võ Thanh Bào,,,
22,AHBC - CÔNG TY TNHH AQUA CITY HÒA BÌNH,"AQUA CITY HOA BINH CO.,LTD",Công ty trách nhiệm hữu hạn,Bất động sản,6.6E+11,casadelrio.com.vn,969266165,2437669863,"Xóm Trung, Phường Hòa Bình, Tỉnh Phú Thọ, Việt Nam",Bùi Thế Vinh,,,
23,AHCC - Công ty Cổ phần Kiểm định Xây dựng An Hòa,AHCV,Công ty cổ phần,Xây dựng,65000000000,anhoaahcv.com.vn,2835178869,2835178867,"109 đường Trần Nguyên Đán, Phường 1, Quận Bình Thạnh, Thành phố Hồ Chí Minh",Lê Thanh Tùng,,,
24,AIEC - Công ty Cổ phần Giáo dục quốc tế Mỹ AIS,AIEC,Công ty cổ phần,"Thương mại, dịch vụ",1E+12,tri.nguyen@ais.edu.vn,2839453945,2839453945,"220 Nguyễn Văn Tạo, Xã Long Thới, Huyện Nhà Bè, Thành phố Hồ Chí Minh.",,,,
25,AISC - CÔNG TY CỔ PHẦN CHỨNG KHOÁN AIS,AIS,Công ty cổ phần,Kinh doanh chứng khoán,1.5E+12,https://www.aisec.com.vn/,024 7308 8189,024 3212 1615,"Tầng 10 Tòa nhà Hoarison Tower 40 Cát Linh, P. Cát Linh, Q. Đống Đa, HN",Nguyễn Ngô Thị Thu Phương,,,
26,AKHC - Công ty cổ phần Đầu tư An Khải Hưng,AKH Investment JSC,Công ty cổ phần,Bất động sản,1.5E+11,www.ankhaihung.vn,908352068,2836369636,"L17-11, tầng 17, tòa nhà Vincom Center, 72 Lê Thánh Tôn, phường Bến Nghé, quận 1, TP. Hồ Chí Minh",Huỳnh Trọng Nghĩa,,,
27,AKPC - Công ty cổ phần nhiệt điện An Khánh - Bắc Giang,An Khanh Thermal Power JSC,Công ty cổ phần,Năng lượng,4.25E+12,nhietdienankhanhbacgiang.com.vn,913552139,02043 693268,Thôn Dăm - Xã Cẩm Lý - Tỉnh Bắc Ninh,TRẦN HỒNG KỲ,,,
28,AKRC - CÔNG TY TNHH PHÁT TRIỂN BẤT ĐỘNG SẢN AN KHANG,AKRC,Công ty trách nhiệm hữu hạn,Bất động sản,7.5E+11,0,938485358,0,"315 Nam Kì Khởi Nghĩa, phường Võ Thị Sáu, Quận 3, TP.HCM",Nguyễn Quốc Hiển,,,
29,ALIC - Công ty Cổ phần Air Link,ALIC,Công ty cổ phần,Bất động sản,3.6E+11,congtyairlink.com,+84 28 3915 8863,+84 28 3915 8863,"66 Phó Đức Chính, Phường Nguyễn Thái Bình, Quận 1, Thành Phố Hồ Chí Minh, Việt Nam",Võ Thanh Sơn,,,
30,ALMC - Công ty TNHH Khu Du lịch Vịnh Thiên Đường,"PBR CO., LTD",Công ty trách nhiệm hữu hạn,"Thương mại, dịch vụ",8E+11,alma.vn,2439741675,2439741677,"Tầng 9, Tòa nhà Gold Coast, Số 01 Trần Hưng Đạo, Phường Lộc Thọ, Thành phố Nha Trang, Tỉnh Khánh Hòa, Việt Nam",Nguyễn Hồng Thắm,,,
31,ALPC - CÔNG TY CỔ PHẦN ĐẦU TƯ ALPHANAM,ALPHANAM INVEST,Công ty cổ phần,Lĩnh vực khác,1.87484E+12,alphanam.com.vn,2213980386,2213980385,"Khu Công nghiệp Phố Nối A, Xã Trưng Trắc, Huyện Văn Lâm, Tỉnh Hưng Yên, Việt Nam",Nguyễn Minh Nhật; Nguyễn Ngọc Mỹ,,,
32,ALSC - Công ty CP Logistics Hàng Không,ALS corp,Công ty cổ phần,"Thương mại, dịch vụ",9.0272E+11,https://als.com.vn/,2437953838,2437953939,"Tầng 4, Ga hàng hóa ALS Cảng hàng không quốc tế Nội bài, xã Phú Minh, Huyện Sóc Sơn, TP.Hà Nội",,,,
33,ANCC - Công ty Cổ phần Dinh Dưỡng Nông Nghiệp Quốc tế,ANCO JSC,Công ty cổ phần,Sản xuất,1.214E+12,https://anco.com.vn/,0251 3968 175,0251 3968 176,"Lô A4, Đường số 4, Khu Công nghiệp Sông Mây, Xã Bắc Sơn, Huyện Trảng Bom, Tỉnh Đồng Nai, Việt Nam",,,,
34,ANPC - Công ty Cổ phần Apec Finance (tên cũ: Công ty Cổ phần đầu tư Anpha),Công ty Cổ phần Apec Finance,Công ty cổ phần,Bất động sản,3E+11,apecgroup.net,2435730200,2435771966,"Tầng 16, tòa nhà Charmvit Tower, số 117, Trần Duy Hưng, P.Trung Hòa, Q.Cầu Giấy, Hà Nội",Trần Thị Đạt; Trần Thị Đạt,,,
35,AP1C - Công ty CP Khu Công nghiệp Kỹ Thuật Cao An Phát 1,An Phat High-Tech IP No1,Công ty cổ phần,Bất động sản,3.75E+11,không có,989060878,0,"Khu công nghiệp An Phát 1- Km72, Quốc Lộ 37, Xã An Bình, Huyện Nam Sách, Tỉnh Hải Dương, Việt Nam",,,,
36,APAC - CTCP AN PHÁT FINANCE,"AN PHAT FINANCE., JSC",Công ty cổ phần,"Thương mại, dịch vụ",10000000000,Không có,396332692,396332692,"Khu Công Nghiệp KT cao An Phát, KM47, Quốc Lộ 5, Phường Việt Hòa, TP Hải Dương, tỉnh Hải Dương",,,,
37,APBC - CTCP Đầu tư - Phát triển đô thị Ân Phú,ÂN PHÚ,Công ty cổ phần,Bất động sản,2.5E+11,anphudn.vn,911237997,911237997,"28 Phan Bội Châu, Phường Bàn Thạch, Thành phố Đà Nẵng",NGUYỄN QUỐC TRƯỜNG,,,
38,APCC - Công ty Cổ phần Thương mại Công nghệ An Phát,"AP.,JSC",Công ty cổ phần,"Thương mại, dịch vụ",1.11E+11,www.anphat.biz.vn,2437753279,2438350134,"Số 5, ngõ 82 Duy Tân, phường Dịch Vọng Hậu, Cầu giấy, Hà Nội",NGUYỄN MẠNH HÀ,,,
39,APEC - Công ty TNHH An Phú Cần Thơ,APEC,Công ty trách nhiệm hữu hạn,Bất động sản,3.2E+11,https://apland.vn/,987698995,2113847188,"Thửa đất số 4357, Tờ bản đồ số 2, DA Chỉnh trang và PTĐT An Phú Cần Thơ, Đường Lê Hồng Nhi, Phường Ba Láng, Quận Cái Răng, Thành phố Cần Thơ, Việt Nam.",Vương Thân Vũ; Vương Thân Vũ; Vương Xuân Vũ,,,
40,APG - Công ty Cổ phần Chứng khoán APG,APG,Công ty cổ phần,Kinh doanh chứng khoán,2.23622E+12,www.apsi.vn,(84-28) 3769 6666,2439410323,"Tòa nhà văn phòng OSC Việt Nam, số 161 Võ Văn Tần, Phường Xuân Hòa, Thành phố Hồ Chí Minh",Trần Thiên Hà,Công ty cổ phần FiinRatings (FiinRatings),BB-,25/08/2025
41,APGC - CTCP Tập đoàn Apec Group,"APEC GROUP .,JSC",Công ty cổ phần,Bất động sản,1E+12,apecgroup.net,2435730200,2435771966,"TẦNG 3, TTTM GRAND PLAZA, SỐ 117 TRẦN DUY HƯNG, P. YÊN HÒA, HÀ NỘI.",Trần Thị Đạt,,,
42,APH - CTCP TẬP ĐOÀN AN PHÁT HOLDINGS,AN PHAT HOLDING,Công ty cổ phần,Lĩnh vực khác,2.43884E+12,www.anphatholdings.com,(024) 3206 1199,(024) 3206 1199,"LÔ CN11 - CN 12, CỤM CÔNG NGHIỆP AN ĐỒNG, HUYỆN NAM SÁCH, TỈNH HẢI DƯƠNG",,,,
43,APHC - Công ty Cổ phần Apec Land Huế,"APH., JSC",Công ty cổ phần,Bất động sản,1.69E+11,,2343882882,2343882881,"Tầng 3, Tòa nhà 28 đường Lý Thường Kiệt, P. Vĩnh Ninh, Tp. Huế, TT Huế.",Hồ Xuân Vinh,,,
44,API - CTCP Đầu tư Châu Á - Thái Bình Dương,APEC investment,Công ty cổ phần,Bất động sản,3.822E+11,www.apeci.com.vn,435771983,435771985,"Tầng 3, tòa nhà Grand Plaza, số 117 Trần Duy Hưng, Phường Trung Hòa, Quận Cầu Giấy, TP.Hà Nội",,,,
45,APPC - Công ty cổ phần Khu công nghiệp Kỹ thuật cao An Phát,"An Phat High-Tech IP ., JSC",Công ty cổ phần,Bất động sản,1.00822E+12,anphatcomplex.com,2203896767,2203896767,"KHU CÔNG NGHIỆP KỸ THUẬT CAO AN PHÁT, KM47, QUỐC LỘ 5, PHƯỜNG VIỆT HÒA, TP HẢI DƯƠNG, TỈNH HẢI DƯƠNG",,,,
46,APRC - CTCP VẬT TƯ NÔNG SẢN,APROMACO,Công ty cổ phần,Sản xuất,2.58429E+11,apromaco.vn,24338232688,24338434913,"SỐ 14 PHỐ NGÔ TẤT TỐ, P VĂN MIẾU - QUỐC TỬ GIÁM , TP HÀ NỘI",Nguyễn Tiến Dũng,,,
47,APS - Công ty Cổ phần Chứng khoán Châu Á Thái Bình Dương,APS,Công ty cổ phần,Kinh doanh chứng khoán,8.3E+11,www.apec.com.vn,2435730200,2435771966,"Tầng 03, tòa nhà Grand Plaza, số 117 đường Trần Duy Hưng, phường Yên Hòa, thành phố Hà Nội",Nguyễn Đỗ Lăng,,,
48,APSC - CÔNG TY CỔ PHẦN CHỨNG KHOÁN ALPHA,APSC,Công ty cổ phần,Kinh doanh chứng khoán,5.27575E+11,https://apsc.vn,2439334666,2439334668,"Tầng 5, 14 Láng Hạ, phường Giảng Võ, thành phố Hà Nội, Việt Nam",Nguyễn Anh Trung; Nguyễn Hoàng Nam,,,
49,AQ1C - CÔNG TY CỔ PHẦN NƯỚC AQUA ONE,AQUA ONE WATER CORP,Công ty cổ phần,Lĩnh vực khác,2.31E+12,https://aquaone.vn/vi,369582582,839900652,"72/38 Ngô Tất Tố, Phường Thạnh Mỹ Tây, Thành phố Hồ Chí Minh, Việt Nam.",LÊ MINH CHÍ,Công ty cổ phần Xếp hạng Tín nhiệm Đầu tư Việt Nam (VIS Ratings),BBB+,24/12/2025
50,AQCC - Công ty TNHH Dịch vụ và Tư vấn xây dựng Anh Quân,Anh Quân,Công ty trách nhiệm hữu hạn,Bất động sản,3.35E+11,anhquan.ltd2023@gmail.com,329522068,329522068,"Số 4 Hẻm 194/55/1 Thôn Yên Khê, Xã Phù Đổng, Thành Phố Hà Nội",ĐẶNG VĂN QUYNH,,,
51,ASG - CTCP Tập đoàn ASG,"ASG.,CORP",Công ty cổ phần,"Thương mại, dịch vụ",9.07847E+11,https://asg.net.vn,2437616688,2437726886,"KHU DỊCH VỤ LOGISTICS, CẢNG HÀNG KHÔNG QUỐC TẾ NỘI BÀI, XÃ NỘI BÀI, HUYỆN SÓC SƠN, HÀ NỘI",,,,
52,ASPC - CÔNG TY TNHH CÔNG VIÊN CHÂU Á,APC,Công ty trách nhiệm hữu hạn,"Thương mại, dịch vụ",1.49369E+13,,2363681666,2363681666,"01 Phan Đăng Lưu, Phường Hòa Cường, Thành phố Đà Nẵng, Việt Nam",Phùng Phạm Thanh Thúy,,,
53,ATDC - CTCP KẾT CẤU THÉP ATAD ĐỒNG NAI,ATAD DONG NAI,Công ty cổ phần,Sản xuất,2E+11,WWW.ATAD.COM.VN,2838336899,2838336105,"LÔ F, KCN LONG KHÁNH, XÃ BÌNH LỘC, TP LONG KHÁNH, TỈNH ĐỒNG NAI",,,,
54,ATGC - CTCP ĐẦU TƯ THƯƠNG MAI VÀ PHÁT TRIỂN AN TƯỜNG,AN TUONG,Công ty cổ phần,Lĩnh vực khác,1.8E+11,trong,2839303366,2839303395,"30 Nguyễn Thị Diệu, Phường 06, Quận 3, Thành phố Hồ Chí Minh",NGUYỄN HƯƠNG GIANG,,,
55,ATHC - CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI TỔNG HỢP AN THỊNH,AN THINH,Công ty trách nhiệm hữu hạn,Bất động sản,2.90625E+12,không có,325300988,0,"Ô SỐ G35, LÔ BIỆT THỰ BT7, KDT MỚI VIỆT HƯNG, PHƯỜNG VIỆT HƯNG, Q LONG BIÊN, HÀ NỘI",Nguyễn Thị Lê Phan,Công ty cổ phần Sài Gòn Phát Thịnh Ratings (Saigon Ratings),vnBB,21/05/2025
56,ATIC - CÔNG TY CỔ PHẦN ARTEMIS INVESTMENT,ARTEMIS INVESTMENT,Công ty cổ phần,Lĩnh vực khác,8.5E+11,Long.NP@artemisinvestment.com.vn,2862680680,2862680680,"27C Quốc Hương, Phường Thảo Điền, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",MAI HẢI ĐĂNG,,,
57,ATKC - Công ty CP Ataka Việt Nam,ATK,Công ty cổ phần,Lĩnh vực khác,1E+12,khong co,978288213,12345678,"Tầng 1, Tòa nhà ONE 18, Số 19/298 phố Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Thành phố Hà Nội, Việt Nam",Nguyễn Quý Lâm,,,
58,ATLC - Công ty TNHH Đầu tư cao su An Thịnh,AN THINH RUBBER INVESTMENT COMPANY LIMITED,Công ty trách nhiệm hữu hạn,Lĩnh vực khác,30000000000,.,562309968,562309968,"Số 1, Đường N3, Khu phố Ích Thạnh, Phường Trường Thạnh, Thành phố Thủ Đức, Hồ Chí Minh, Việt Nam",Nguyễn Công Thành,,,
59,ATSC - CÔNG TY CỔ PHẦN THƯƠNG MẠI VÀ DỊCH VỤ KỸ THUẬT NỘI BÀI,"ATSC.,JSC",Công ty cổ phần,Bất động sản,3.6E+11,www.nts.net.vn,02435 832268,02435 832269,"Thôn Tân Phú, Xã Nội Bài, TP Hà Nội, Việt Nam",Khổng Minh Dũng,,,
60,AVIC - Công ty cổ phần Đầu tư và Phát triển Hạ tầng An Việt,An Viet IID JSC,Công ty cổ phần,Bất động sản,5E+11,0,2439755666,0,"Ô 27 khu 7,2 ha, tổ 17, cụm 3, phường Vĩnh Phúc, quận Ba Đình, TP Hà Nội",Ngô Văn Chánh,,,
61,AVNC - CÔNG TY CỔ PHẦN AAC VIỆT NAM,"AAC VIET NAM., CORP.",Công ty cổ phần,Bất động sản,6.0005E+11,không có,984414901,2439724091,"Tầng 26, Tòa tháp A, số 54A, Nguyễn Chí Thanh, Phường Láng, Thành phố Hà Nội",VŨ THỊ TIÊN LỮ,Công ty cổ phần Sài Gòn Phát Thịnh Ratings (Saigon Ratings),vnBBB-,8/4/2025
62,AVPC - Công ty TNHH MTV Năng lượng An Việt Phát,AVP,Công ty trách nhiệm hữu hạn,Sản xuất,8E+11,https://anvietenergy.com/,(028) 3636 4828,2836364881,"Cụm công nghiệp vật liệu xây dựng, ấp Thanh Hóa (trong khuôn viên Công ty TNHH Hưng Nguyên Phát), Xã Hố Nai 3, Huyện Trảng Bom, Tỉnh Đồng Nai, Việt Nam",,,,
63,AVTC - CÔNG TY TRÁCH NHIỆM HỮU HẠN ALLGREEN - VƯỢNG THÀNH - TRÙNG DƯƠNG,ALLGREEN - VUONG THANH - TRUNG DUONG,Công ty trách nhiệm hữu hạn,Bất động sản,8.6E+11,tdggroup.vn,2543527575,2543524813,"184 đường Phan Chu Trinh, Phường 2, Thành phố Vũng Tàu, Tỉnh Bà Rịa - Vũng Tàu, Việt Nam",BÙI NGỌC TUẤN,Công ty cổ phần Sài Gòn Phát Thịnh Ratings (Saigon Ratings),vnBB+,9/8/2024
64,AZDC - CTCP MUA BÁN NỢ AZURA,AZR DEBT,Công ty cổ phần,Lĩnh vực khác,1.65E+11,khong co,989208175,0,"D5 Tầng 3, P2-10 Eastern Park, KĐT Garden City, P Thạch Bàn, Q Long Biên, Hà Nội",Nguyễn Thị Thu Hồng,,,
65,AZRC - CTCP AZURA,AZURA JOINT STOCK COMPANY,Công ty cổ phần,Lĩnh vực khác,1.725E+12,không có,904211211,904211211,"số 63 Gia Thượng, Ngọc Thụy, Long Biên, Hà Nội",Dương Thành Trung,,,
66,BAB - Ngân hàng Thương Mại Cổ Phần Bắc Á,BAC A BANK,Công ty cổ phần,Tổ chức tín dụng,1.07214E+13,https://www.baca-bank.vn/,2383844277,2383841757,"Số 117 Đường Quang Trung, Phường Thành Vinh, Tỉnh Nghệ An, Việt Nam",,Công ty cổ phần FiinRatings (FiinRatings),A-,1/10/2025
67,BAF - Công ty Cổ phần Nông nghiệp BAF Việt Nam,"BAF.,JSC",Công ty cổ phần,Sản xuất,1.4352E+12,baf.vn,961789371,0,"62 đường Song Hành, Xa lộ Hà Nội, Phường An Phú, TP.Thủ Đức, Tp.HCM, Việt Nam",Bùi Hương Giang,,,
68,BBCC - Công ty TNHH Một thành viên Đầu tư và Phát triển BB,"BB ID CO.,LTD",Công ty trách nhiệm hữu hạn,Bất động sản,2.5E+11,Không có,439260356,439260356,"Số 17A, phố Trần Hưng Đạo, phường Phan Chu Trinh, quận Hoàn Kiếm, TP Hà Nội",Đặng Thị Ngọc Bích,,,
69,BBPC - CTCP BB Power Holdings,BBPH,Công ty cổ phần,Lĩnh vực khác,1.95E+12,www.binhminhland.com,2835142548,2835142547,"A203, THÁP THE MANOR, ĐƯỜNG MỄ TRÌ, PHƯỜNG MỸ ĐÌNH 1, QUẬN NAM TỪ LIÊM, HÀ NỘI",Trần Huy Hoàng,,,
70,BCG - CTCP BAMBOO CAPITAL,BCG,Công ty cổ phần,Lĩnh vực khác,8.80211E+12,http://bamboocap.com.vn,2862680680,2862991188,"27C Quốc Hương, Phường Thảo Điền, TP. Thủ Đức, TP. HCM",Hồ Viết Thùy,,,
71,BCLC - Công ty Cổ phần BCG LAND,BCG LAND,Công ty cổ phần,Bất động sản,4.6E+12,https://www.bcgland.com.vn,(028) 2221 6868,(028) 2200 3168,"22A Đường số 7, Phường An Phú,Thành phố Thủ Đức,Thành Phố Hồ Chí Minh",NGUYỄN CHÂU DIỆU ÂN; Nguyễn Hoàng Tiến; Nguyễn Hồ Nam; Phạm Đại Nghĩa,,,
72,BCM - TẬP ĐOÀN ĐẦU TƯ VÀ PHÁT TRIỂN CÔNG NGHIỆP BECAMEX-CTCP (tên cũ: TỔNG CÔNG TY ĐẦU TƯ VÀ PHÁT TRIỂN CÔNG NGHIỆP - CTCP,BECAMEX GROUP,Công ty cổ phần,Bất động sản,1.035E+13,www.becamex.com.vn,2743822655,2743822713,"Tầng 10, Tòa nhà mPlaza Sài gòn, số 39 Lê Duẩn, Phường Sài Gòn, TP.HCM",,Công ty cổ phần Xếp hạng Tín nhiệm Đầu tư Việt Nam (VIS Ratings),A,1/8/2025
73,BCMC - CTCP Phát triển hạ tầng kỹ thuật Becamex-Bình Phước,BECAMEX - BINH PHUOC,Công ty cổ phần,Bất động sản,2.69838E+12,http://becamexbinhphuoc.com.vn/,2713640079,2713640080,"Quốc lộ 14, Tổ 8, Khu phố 3, Phường Chơn Thành, Tỉnh Đồng Nai",Nguyễn Thanh Nhã; Đặng Văn Dũng,,,
74,BDCC - Tổng công ty Xây dựng Bạch Đằng,BDCC,Công ty cổ phần,Xây dựng,5.17359E+11,bachdanggroup.com,2253856251,2253856451,"SỐ 268 TRẦN NGUYÊN HÃN, P NIỆM NGHĨA, Q LÊ CHÂN, HẢI PHÒNG",,,,
75,BDIC - CTCP ĐẦU TƯ VÀ PHÁT TRIỂN BÌNH ĐỊNH,"BINHDINH IAD., JSC",Công ty cổ phần,Bất động sản,5E+11,binhdinhinvestment.vn,904513951,0,"Khu số 4, khu du dịch biển Nhơn Lý - Cát Tiến, xã Nhơn Lý, TP. Quy Nhơn, tỉnh Bình Định",Nguyễn Quang Trung,,,
76,BDSC - CTCP BDS,CTCP BDS,Công ty cổ phần,Bất động sản,2E+11,abc.com,2838157705,2838157706,"32/5 Nguyễn Thông, KP1, Phường Phú Hài, Thành phố Phan Thiết, tỉnh Bình Thuận, Việt Nam",Nguyen Van A,,,
77,BGDC - Công ty CP phát triển đầu tư- xây dựng Bách Giang-DCI,Bách Giang-DCI,Công ty cổ phần,Bất động sản,3.542E+12,0,973781111,0,"Thôn Như Phượng Thượng , Xã Long Hưng, Huyện Văn Giang, Tỉnh Hưng Yên, Việt Nam",,,,
