STT,Ngày đăng tin,Tên DN,Mã TP,Tiền tệ,Kỳ hạn,Ngày phát hành,Ngày đáo hạn,Kỳ hạn còn lại (ngày),Khối lượng,Mệnh giá,Loại hình trả lãi,Loại lãi suất,Phương thức thanh toán lãi,Mua lại và hoán đổi,Thị trường phát hành,Lãi suất phát hành (%/năm),Tình trạng,Văn bản đính kèm,Code công ty,Loại hình,Ngành
47,2021-06-07 00:00:00,HDB - NH TMCP Phát triển thành phố Hồ Chí Minh ( HDBANK),HDBL2128002,VNĐ,,06/02/2021,06/02/2028,,500,1000000000,Coupon,Thả nổi,Định kỳ - Cuối kỳ,Mua lại,,7.77,Hiệu lực,,HDB ,Công ty cổ phần,Tổ chức tín dụng
48,2021-06-11 00:00:00,OCB - Ngân hàng TMCP Phương Đông,OCBL2124002,VNĐ,,06/02/2021,06/02/2024,,1500,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,3.3,Hiệu lực,,OCB ,Công ty cổ phần,Tổ chức tín dụng
49,2021-06-10 00:00:00,VPFC - CÔNG TY TÀI CHÍNH TNHH MTV NGÂN HÀNG VIỆT NAM THỊNH VƯỢNG,VPFCH2123005,VNĐ,,06/02/2021,06/02/2023,,500000,1000000,Coupon,Cố định,Một lần khi đến hạn,,,7.5,Hiệu lực,,VPFC ,Công ty trách nhiệm hữu hạn,Lĩnh vực khác
50,2021-07-07 00:00:00,VND - Công ty Cổ phần Chứng khoán VNDirect,VNDH2122004,VNĐ,,07/02/2021,07/02/2022,,3000000,100000,Coupon,Cố định,Định kỳ - Cuối kỳ,,,7.5,Hiệu lực,,VND ,Công ty cổ phần,Kinh doanh chứng khoán
51,2021-08-10 00:00:00,HLHC - CTCP KHÁCH SẠN VỊNH HẠ LONG,HLHCH2125001,VNĐ,,08/02/2021,08/02/2025,,2500,100000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,11.0,Hiệu lực,,HLHC ,Công ty cổ phần,Bất động sản
52,2021-08-06 00:00:00,SMC - Công ty Cổ phần Đầu tư Thương mại SMC,SMCH2124001,VNĐ,,08/02/2021,08/02/2024,,200,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,,,8.2,Hiệu lực,,SMC ,Công ty cổ phần,Sản xuất
53,2021-09-14 00:00:00,HPX - CÔNG TY CỔ PHẦN ĐẦU TƯ HẢI PHÁT,HPXH2125007,VNĐ,,08/02/2021,25/08/2025,,500000,1000000,Coupon,Kết hợp,Một lần khi đến hạn,Mua lại,,11.0,Hiệu lực,,HPX ,Công ty cổ phần,Bất động sản
54,2021-08-19 00:00:00,BVB - NGÂN HÀNG TMCP BẢN VIỆT,BVBLH2128001,VNĐ,,08/02/2021,08/02/2028,,50,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,7.6,Hiệu lực,,BVB ,Công ty cổ phần,Tổ chức tín dụng
55,2021-10-11 00:00:00,HVDC - Công ty cổ phần Hưng Vượng Developer,HVDCH2123001,VNĐ,,08/02/2021,02/02/2023,,6000,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,12.0,Hiệu lực,,HVDC ,Công ty cổ phần,Bất động sản
56,2021-08-09 00:00:00,H79C - CTCP HƯNG THỊNH LAND,H79CH2122003,VNĐ,,08/02/2021,08/02/2022,,3000000,100000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,10.3,Hiệu lực,,H79C ,Công ty cổ phần,Bất động sản
57,2021-11-04 00:00:00,LDG - Công ty CP Đầu tư LDG,LDGH2123001,VNĐ,,08/02/2021,08/02/2023,,1376,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,12.0,Hiệu lực,,LDG ,Công ty cổ phần,Bất động sản
58,2022-01-25 00:00:00,STCC - Công ty cổ phần STC Corporation,STCCH2122001,VNĐ,,12/02/2021,12/02/2022,,1500,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,11.0,Hiệu lực,,STCC ,Công ty cổ phần,Bất động sản
59,2022-03-17 00:00:00,PSI - Công ty Cổ phần Chứng khoán Dầu khí,PSIH2123004,VNĐ,,12/02/2021,06/02/2023,,1270,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,9.5,Hiệu lực,,PSI ,Công ty cổ phần,Kinh doanh chứng khoán
60,2021-12-10 00:00:00,PDR - CTCP PHÁT TRIỂN BẤT ĐỘNG SẢN PHÁT ĐẠT,PDRH2123007,VNĐ,,12/02/2021,12/02/2023,,4750,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,12.0,Hiệu lực,,PDR ,Công ty cổ phần,Bất động sản
61,2021-04-09 00:00:00,VDS - Công ty Cổ phần Chứng khoán Rồng Việt,VDSH2122001,VNĐ,,17/02/2021,17/02/2022,,249850,1000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,8.8,Hiệu lực,,VDS ,Công ty cổ phần,Kinh doanh chứng khoán
62,2021-03-26 00:00:00,KBC - TỔNG CÔNG TY PHÁT TRIỂN ĐÔ THỊ KINH BẮC - CTCP,KBCH2123001,VNĐ,,22/02/2021,22/02/2023,,4000000,100000,Coupon,Cố định,Định kỳ - Cuối kỳ,,,10.5,Hiệu lực,,KBC ,Công ty cổ phần,Lĩnh vực khác
63,2021-03-16 00:00:00,AECC - Công ty cổ phẩn Anh ngữ APax,AECCH2123001,VNĐ,,23/02/2021,23/02/2023,,2000000,100000,Coupon,Cố định,Khác,Mua lại,,12.0,Hiệu lực,,AECC ,Công ty cổ phần,"Thương mại, dịch vụ"
64,2023-12-11 00:00:00,OREC - CTCP Năng lượng Tái tạo Đại Dương,ORECH2135001,VNĐ,,04/03/2021,04/03/2035,,4680,100000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,9.0,Hiệu lực,,OREC ,Công ty cổ phần,Lĩnh vực khác
65,2021-06-14 00:00:00,ACB - Ngân hàng TMCP Á Châu,ACBH2124004,VNĐ,,06/03/2021,06/03/2024,,1200,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,4.0,Hiệu lực,,ACB ,Công ty cổ phần,Tổ chức tín dụng
66,2021-09-06 00:00:00,KBC - TỔNG CÔNG TY PHÁT TRIỂN ĐÔ THỊ KINH BẮC - CTCP,KBCH2123002,VNĐ,,06/03/2021,06/03/2023,,10000000,100000,Coupon,Cố định,Định kỳ - Cuối kỳ,,,10.5,Hiệu lực,,KBC ,Công ty cổ phần,Lĩnh vực khác
67,2021-06-09 00:00:00,BID - Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,BIDL2128003,VNĐ,,06/03/2021,06/03/2028,,700,1000000000,Coupon,Thả nổi,Định kỳ - Cuối kỳ,Hoán đổi; Mua lại,,6.2,Hiệu lực,,BID ,Công ty cổ phần,Tổ chức tín dụng
68,2021-10-05 00:00:00,VVCC - Công ty cổ phần Việt Vương,VVCCH2122001,VNĐ,,08/03/2021,08/03/2022,,1500,100000000,Coupon,Cố định,Khác,Mua lại,,11.0,Hiệu lực,,VVCC ,Công ty cổ phần,Sản xuất
69,2021-08-31 00:00:00,SPTC - Công ty Cổ phần Tập đoàn Bất động sản Mặt trời,SPTCH2123001,VNĐ,,08/03/2021,02/03/2023,,400000,1000000,Coupon,Kết hợp,Một lần khi đến hạn,Mua lại,,8.8,Hiệu lực,,SPTC ,Công ty cổ phần,Bất động sản
70,2021-11-17 00:00:00,RHGC - Công ty cổ phần Tập đoàn R&H,RHGCH2123004,VNĐ,,11/03/2021,05/03/2023,,5000000,100000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,11.0,Hiệu lực,,RHGC ,Công ty cổ phần,Bất động sản
71,2021-11-17 00:00:00,GFVC - Công ty cổ phần GreenFeed Việt Nam,GFVCH2128001,VNĐ,,11/03/2021,15/06/2028,,1000,1000000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,6.53,Hiệu lực,,GFVC ,Công ty cổ phần,Sản xuất
72,2021-11-05 00:00:00,MBB - NGÂN HÀNG TMCP QUÂN ĐỘI,MBBL2128012,VNĐ,,11/03/2021,11/03/2028,,15000,10000000,Coupon,Thả nổi,Định kỳ - Cuối kỳ,Mua lại,,7.03,Hiệu lực,,MBB ,Công ty cổ phần,Tổ chức tín dụng
73,2022-02-18 00:00:00,NCRC - Công ty Cổ phần Câu lạc bộ Du thuyền và nghỉ dưỡng Cam Ranh,NCRCH2123001,VNĐ,,12/03/2021,12/03/2023,,25000000,100000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,10.0,Hiệu lực,,NCRC ,Công ty cổ phần,Bất động sản
74,2021-12-09 00:00:00,VCB - NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM,VCBH2131007,VNĐ,,12/03/2021,12/03/2031,,350,1000000000,Coupon,Thả nổi,Định kỳ - Cuối kỳ,Mua lại,,6.53,Hiệu lực,,VCB ,Công ty cổ phần,Tổ chức tín dụng
75,2021-12-09 00:00:00,VCB - NGÂN HÀNG TMCP NGOẠI THƯƠNG VIỆT NAM,VCBH2128006,VNĐ,,12/03/2021,12/03/2028,,600,1000000000,Coupon,Thả nổi,Định kỳ - Cuối kỳ,Mua lại,,6.13,Hiệu lực,,VCB ,Công ty cổ phần,Tổ chức tín dụng
76,2021-04-09 00:00:00,VDS - Công ty Cổ phần Chứng khoán Rồng Việt,VDSH2122002,VNĐ,,15/03/2021,15/03/2022,,150000,1000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,8.8,Hiệu lực,,VDS ,Công ty cổ phần,Kinh doanh chứng khoán
77,2021-03-30 00:00:00,IDHC - CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN THỦY ĐIỆN ĐĂKPSI,IDHCH2131001,VNĐ,,15/03/2021,15/03/2031,,10000000,100000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,10.0,Hiệu lực,,IDHC ,Công ty cổ phần,Xây dựng
78,2021-06-24 00:00:00,TIKC - CÔNG TY CỔ PHẦN TI KI,TIKCH2123001,VNĐ,,16/03/2021,16/03/2023,,10000,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,13.0,Hiệu lực,,TIKC ,Công ty trách nhiệm hữu hạn,Lĩnh vực khác
79,2021-04-22 00:00:00,VDS - Công ty Cổ phần Chứng khoán Rồng Việt,VDSH2122003,VNĐ,,16/03/2021,16/03/2022,,150000,1000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,8.8,Hiệu lực,,VDS ,Công ty cổ phần,Kinh doanh chứng khoán
80,2021-03-19 00:00:00,ACBC - Công ty TNHH Chứng khoán ACB,ACBCL2122001,VNĐ,,17/03/2021,17/03/2022,,120,1000000000,Coupon,Cố định,Một lần khi đến hạn,Mua lại,,7.8,Hiệu lực,,ACBC ,Công ty trách nhiệm hữu hạn,Kinh doanh chứng khoán
81,2022-05-31 00:00:00,H79C - CTCP Hưng Thịnh Land,H79CH2124001,VNĐ,,18/03/2021,18/03/2024,,5000000,100000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,10.5,Hiệu lực,,H79C ,Công ty cổ phần,Bất động sản
82,2021-04-20 00:00:00,DXG - CTCP tập đoàn Đất Xanh,DXGH2123001,VNĐ,,18/03/2021,18/03/2023,,3700,100000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,12.0,Hiệu lực,,DXG ,Công ty cổ phần,Bất động sản
83,2021-10-01 00:00:00,FNFC - Công ty Cổ phần Fuji Nutri Food,FNFCH2124001,VNĐ,,18/03/2021,18/03/2024,,7200,100000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,11.5,Hiệu lực,,FNFC ,Công ty cổ phần,Bất động sản
84,2021-03-29 00:00:00,H79C - CTCP HƯNG THỊNH LAND,H79CH2123004,VNĐ,,18/03/2021,30/09/2023,,300000,1000000,Coupon,Cố định,Định kỳ - Đầu kỳ,Mua lại,,10.5,Hiệu lực,,H79C ,Công ty cổ phần,Bất động sản
85,2021-03-25 00:00:00,HAAC - Công ty Cổ phần Đầu tư Kinh doanh Bất động sản Hà An,HAACB2124001,VNĐ,,18/03/2021,18/03/2024,,5000000,100000,Coupon,Thả nổi,Định kỳ - Cuối kỳ,Mua lại,,10.8,Hiệu lực,,HAAC ,Công ty cổ phần,Bất động sản
86,2021-04-15 00:00:00,VDS - Công ty Cổ phần Chứng khoán Rồng Việt,VDSH2122004,VNĐ,,18/03/2021,18/03/2022,,150000,1000000,Coupon,Cố định,Định kỳ - Cuối kỳ,Mua lại,,9.3,Hiệu lực,,VDS ,Công ty cổ phần,Kinh doanh chứng khoán
87,2022-08-25 00:00:00,SOGC - CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN NOVA SONG GIANG,SOGCH2123001,VNĐ,,19/03/2021,19/03/2023,,200,1000000000,Coupon,Kết hợp,Định kỳ - Cuối kỳ,Mua lại,,11.0,Hiệu lực,,SOGC ,Công ty trách nhiệm hữu hạn,Bất động sản
